place_id,name,address,lat,lng,rating,rating_total,zipcode,weekday,Total Business Hour,frequent words,negative_mean,neutral_mean,positive_mean,compound_mean,negative_std,neutral_std,positive_std,compound_std
ChIJ9ac98aee3acb010da0bc,Mountainside Fitness - Ahwatukee,"4820 E Ray Rd, Phoenix, AZ 85044, United States",33.3179,-111.9746,4.5,892,85044,"['Monday: 4:00 AM – 10:00 PM', 'Tuesday: 4:00 AM – 10:00 PM', 'Wednesday: 4:00 AM – 10:00 PM', 'Thursday: 4:00 AM – 10:00 PM', 'Friday: 4:00 AM – 9:00 PM', 'Saturday: 5:00 AM – 8:00 PM', 'Sunday: 5:00 AM – 8:00 PM']",121,"[('staff', 106), ('classes', 49), ('equipment', 45), ('clean', 41), ('weights', 40), ('area', 39), ('trainers', 37), ('incredible', 36), ('workout', 33), ('ve', 32), ('spacious', 32), ('experience', 31), ('atmosphere', 29), ('helpful', 28), ('facility', 27), ('encouraging', 26), ('community', 24), ('fantastic', 24), ('hours', 23), ('motivating', 22), ('knowledgeable', 21), ('supportive', 21), ('welcoming', 21), ('free', 21), ('parking', 21), ('studio', 20), ('machines', 20), ('excellent', 19), ('pool', 19), ('music', 18), ('training', 18), ('worth', 18), ('amenities', 17), ('friendly', 16), ('space', 16), ('phenomenal', 15), ('stars', 15), ('membership', 15), ('treadmills', 14), ('professional', 14), ('maintenance', 14), ('penny', 14), ('premium', 14), ('member', 13), ('counting', 13), ('terrible', 13), ('maintained', 13), ('modern', 13), ('years', 12), ('super', 12), ('variety', 12), ('selection', 12), ('cardio', 12), ('locker', 11), ('rooms', 11), ('vibe', 11), ('schedule', 11), ('cleanest', 11), ('brand', 11), ('sauna', 11), ('location', 10), ('bad', 10), ('facilities', 10), ('fine', 9), ('hands', 9), ('vibes', 9), ('switched', 9), ('average', 9), ('broken', 8), ('customer', 8), ('service', 8), ('smells', 8), ('absolutely', 8), ('perfect', 8), ('train', 8), ('environment', 8), ('options', 8), ('endless', 8), ('overcrowded', 7), ('won', 7), ('layout', 7), ('decision', 7), ('joining', 7), ('price', 7), ('adequate', 7), ('acceptable', 7), ('outdated', 6), ('pay', 6), ('room', 6), ('improvement', 6), ('months', 6), ('notch', 6), ('highly', 6), ('disappointed', 5), ('dirty', 5), ('doesn', 5), ('care', 5), ('alright', 5), ('peak', 5), ('unhelpful', 5), ('standard', 5), ('job', 5), ('updated', 5), ('couple', 4), ('fair', 4), ('opened', 4), ('money', 4), ('cramped', 4), ('replacing', 4), ('unprofessional', 3), ('ready', 3), ('keeping', 3), ('reasonable', 3), ('greeting', 3), ('members', 3), ('decent', 3), ('disappointing', 2), ('major', 2), ('advertise', 2), ('rude', 2), ('budget', 2), ('offering', 2), ('tips', 2), ('outstanding', 2), ('making', 2), ('worst', 1), ('messy', 1), ('updates', 1), ('middle', 1), ('road', 1), ('crowded', 1), ('serviceable', 1)]",0.038,0.620728,0.34126799999999996,0.6468732,0.10787107431883115,0.11857448989820056,0.15802685252982143,0.48468429848567857
ChIJb08c02c8fa950d4dce69,EOS Fitness - Phoenix Camelback,"1820 E Camelback Rd, Phoenix, AZ 85016, United States",33.5092,-111.9982,4.3,1245,85016,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168,"[('staff', 114), ('classes', 52), ('incredible', 45), ('clean', 40), ('equipment', 37), ('facility', 36), ('trainers', 35), ('helpful', 34), ('experience', 32), ('ve', 32), ('weights', 30), ('workout', 30), ('area', 28), ('atmosphere', 27), ('fantastic', 26), ('spacious', 25), ('machines', 24), ('knowledgeable', 23), ('schedule', 23), ('friendly', 22), ('free', 22), ('supportive', 22), ('price', 21), ('modern', 21), ('stars', 21), ('motivating', 18), ('encouraging', 18), ('pool', 17), ('community', 17), ('welcoming', 17), ('terrible', 17), ('decision', 16), ('joining', 16), ('training', 16), ('parking', 15), ('amenities', 15), ('space', 15), ('studio', 15), ('customer', 15), ('service', 15), ('professional', 14), ('hours', 14), ('cardio', 14), ('worth', 13), ('layout', 13), ('maintained', 13), ('vibe', 12), ('membership', 12), ('locker', 12), ('rooms', 12), ('sauna', 12), ('maintenance', 12), ('cleanest', 12), ('brand', 12), ('outdated', 12), ('facilities', 11), ('treadmills', 11), ('member', 11), ('counting', 11), ('location', 11), ('train', 11), ('environment', 11), ('options', 11), ('endless', 11), ('switched', 11), ('excellent', 10), ('absolutely', 10), ('hands', 10), ('vibes', 10), ('selection', 10), ('super', 10), ('music', 9), ('years', 9), ('perfect', 9), ('variety', 9), ('average', 8), ('job', 8), ('bad', 8), ('penny', 7), ('premium', 7), ('overcrowded', 7), ('won', 7), ('notch', 6), ('highly', 6), ('major', 6), ('advertise', 6), ('ready', 6), ('phenomenal', 6), ('decent', 6), ('money', 6), ('broken', 6), ('smells', 6), ('replacing', 5), ('special', 5), ('rude', 5), ('adequate', 5), ('fine', 5), ('acceptable', 4), ('disappointing', 4), ('disappointed', 4), ('dirty', 4), ('doesn', 4), ('care', 4), ('standard', 4), ('opened', 4), ('couple', 4), ('cramped', 4), ('updated', 3), ('pay', 3), ('room', 3), ('improvement', 3), ('making', 3), ('months', 3), ('greeting', 3), ('members', 3), ('updates', 2), ('budget', 2), ('offering', 2), ('tips', 2), ('fair', 2), ('middle', 2), ('road', 2), ('crowded', 2), ('serviceable', 2), ('reasonable', 2), ('messy', 1), ('alright', 1), ('peak', 1), ('unprofessional', 1), ('outstanding', 1)]",0.038548,0.631688,0.329764,0.6384832,0.10748598347026594,0.11776263758614171,0.15660575261146706,0.475993963671354
ChIJa6f4109d0542c478161c,Planet Fitness - Central Phoenix,"3110 N Central Ave, Phoenix, AZ 85012, United States",33.4758,-112.074,4.2,1567,85012,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: 12:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 7:00 PM', 'Sunday: 7:00 AM – 7:00 PM']",134,"[('staff', 107), ('weights', 43), ('classes', 42), ('area', 40), ('equipment', 38), ('incredible', 37), ('experience', 37), ('clean', 31), ('helpful', 30), ('free', 30), ('facility', 29), ('terrible', 28), ('workout', 28), ('community', 27), ('spacious', 24), ('trainers', 23), ('knowledgeable', 22), ('excellent', 22), ('pool', 22), ('hours', 21), ('training', 21), ('encouraging', 21), ('atmosphere', 21), ('welcoming', 19), ('ve', 19), ('motivating', 18), ('machines', 18), ('variety', 18), ('space', 18), ('worth', 18), ('professional', 17), ('stars', 16), ('treadmills', 16), ('friendly', 16), ('amenities', 16), ('decent', 15), ('location', 15), ('cardio', 15), ('locker', 14), ('rooms', 14), ('supportive', 14), ('music', 14), ('maintenance', 14), ('modern', 14), ('bad', 14), ('outdated', 14), ('layout', 14), ('schedule', 13), ('train', 13), ('environment', 13), ('options', 13), ('endless', 13), ('price', 13), ('parking', 13), ('money', 12), ('overcrowded', 11), ('won', 11), ('notch', 11), ('highly', 11), ('decision', 11), ('joining', 11), ('member', 11), ('counting', 11), ('switched', 11), ('fantastic', 11), ('membership', 11), ('vibe', 10), ('facilities', 10), ('sauna', 10), ('major', 10), ('advertise', 10), ('broken', 10), ('smells', 10), ('customer', 9), ('service', 9), ('years', 9), ('disappointing', 9), ('studio', 9), ('perfect', 9), ('rude', 8), ('maintained', 8), ('absolutely', 8), ('phenomenal', 8), ('disappointed', 7), ('dirty', 7), ('doesn', 7), ('care', 7), ('hands', 7), ('vibes', 7), ('super', 7), ('cramped', 6), ('messy', 6), ('fair', 6), ('penny', 6), ('premium', 6), ('middle', 6), ('road', 6), ('standard', 6), ('crowded', 6), ('serviceable', 6), ('fine', 5), ('unhelpful', 5), ('ready', 5), ('cleanest', 5), ('brand', 5), ('selection', 5), ('budget', 4), ('adequate', 4), ('updates', 4), ('months', 4), ('couple', 3), ('average', 3), ('replacing', 3), ('reasonable', 3), ('worst', 3), ('making', 3), ('alright', 2), ('peak', 2), ('unprofessional', 2), ('acceptable', 2), ('pay', 2), ('room', 2), ('improvement', 2), ('special', 2), ('job', 2), ('keeping', 2), ('outstanding', 2), ('offering', 1), ('tips', 1)]",0.067092,0.6281760000000001,0.304716,0.5231696,0.14158456232639427,0.1204095463800016,0.1765888837937373,0.60057115682781
ChIJb2742f5efddaf762b010,Life Time - Desert Ridge,"21001 N Tatum Blvd, Phoenix, AZ 85050, United States",33.6719,-111.9769,4.1,723,85050,"['Monday: 4:00 AM – 12:00 AM', 'Tuesday: 4:00 AM – 12:00 AM', 'Wednesday: 4:00 AM – 12:00 AM', 'Thursday: 4:00 AM – 12:00 AM', 'Friday: 4:00 AM – 12:00 AM', 'Saturday: 5:00 AM – 12:00 AM', 'Sunday: 5:00 AM – 12:00 AM']",138,"[('staff', 127), ('classes', 56), ('clean', 39), ('weights', 36), ('equipment', 35), ('trainers', 33), ('facility', 32), ('incredible', 30), ('experience', 30), ('workout', 28), ('area', 28), ('terrible', 28), ('ve', 27), ('friendly', 25), ('community', 25), ('spacious', 23), ('excellent', 23), ('schedule', 22), ('locker', 20), ('rooms', 20), ('atmosphere', 20), ('welcoming', 19), ('fantastic', 19), ('sauna', 19), ('supportive', 19), ('price', 18), ('worth', 18), ('free', 18), ('treadmills', 17), ('maintenance', 17), ('amenities', 17), ('outdated', 17), ('knowledgeable', 17), ('modern', 16), ('encouraging', 16), ('customer', 15), ('service', 15), ('decent', 15), ('stars', 15), ('cardio', 15), ('helpful', 15), ('parking', 15), ('vibe', 15), ('space', 15), ('professional', 15), ('membership', 14), ('pool', 14), ('decision', 13), ('joining', 13), ('member', 13), ('counting', 13), ('absolutely', 12), ('hours', 12), ('training', 12), ('years', 12), ('super', 12), ('variety', 12), ('motivating', 11), ('machines', 11), ('major', 11), ('advertise', 11), ('cleanest', 10), ('brand', 10), ('studio', 10), ('perfect', 10), ('money', 10), ('ready', 10), ('bad', 10), ('layout', 9), ('standard', 9), ('phenomenal', 9), ('overcrowded', 9), ('won', 9), ('fine', 9), ('location', 8), ('music', 8), ('penny', 8), ('premium', 8), ('fair', 7), ('notch', 7), ('highly', 7), ('broken', 7), ('smells', 7), ('train', 7), ('environment', 7), ('options', 7), ('endless', 7), ('disappointed', 6), ('dirty', 6), ('doesn', 6), ('care', 6), ('facilities', 6), ('adequate', 6), ('maintained', 6), ('acceptable', 6), ('disappointing', 6), ('switched', 6), ('worst', 5), ('special', 5), ('job', 5), ('updates', 5), ('average', 5), ('replacing', 5), ('selection', 5), ('hands', 5), ('vibes', 5), ('opened', 4), ('keeping', 4), ('messy', 4), ('alright', 4), ('reasonable', 4), ('peak', 4), ('unprofessional', 4), ('outstanding', 3), ('budget', 3), ('middle', 3), ('road', 3), ('crowded', 3), ('serviceable', 3), ('cramped', 3), ('making', 3), ('months', 3), ('pay', 2), ('room', 2), ('improvement', 2), ('unhelpful', 2), ('couple', 2), ('offering', 2), ('tips', 2), ('rude', 2), ('greeting', 2), ('members', 2)]",0.056240000000000005,0.627432,0.316332,0.5666316,0.12581109700067825,0.12225520322202829,0.17308989056807297,0.5488751906042787
ChIJ349af803bc3f0aab5cc3,Metroflex Gym Phoenix,"19420 N 27th Ave, Phoenix, AZ 85027, United States",33.6769,-112.1018,4.7,204,85027,"['Monday: 5:00 AM – 10:00 PM', 'Tuesday: 5:00 AM – 10:00 PM', 'Wednesday: 5:00 AM – 10:00 PM', 'Thursday: 5:00 AM – 10:00 PM', 'Friday: 5:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 6:00 PM', 'Sunday: 7:00 AM – 5:00 PM']",107,"[('staff', 92), ('equipment', 49), ('area', 41), ('clean', 39), ('classes', 36), ('incredible', 34), ('spacious', 29), ('weights', 27), ('workout', 27), ('knowledgeable', 27), ('community', 26), ('helpful', 26), ('trainers', 25), ('excellent', 22), ('atmosphere', 21), ('ve', 20), ('vibe', 19), ('training', 19), ('welcoming', 19), ('encouraging', 18), ('supportive', 18), ('stars', 18), ('location', 17), ('machines', 16), ('customer', 16), ('service', 16), ('treadmills', 15), ('friendly', 15), ('parking', 15), ('facility', 15), ('professional', 15), ('free', 14), ('motivating', 14), ('cardio', 14), ('worth', 14), ('pool', 13), ('studio', 12), ('schedule', 12), ('locker', 12), ('rooms', 12), ('notch', 12), ('highly', 12), ('variety', 12), ('modern', 12), ('switched', 12), ('ready', 12), ('membership', 12), ('space', 11), ('member', 11), ('counting', 11), ('train', 11), ('environment', 11), ('options', 11), ('endless', 11), ('phenomenal', 10), ('experience', 10), ('maintenance', 10), ('penny', 10), ('premium', 10), ('fantastic', 9), ('amenities', 9), ('hours', 9), ('selection', 9), ('terrible', 8), ('decent', 8), ('perfect', 8), ('months', 8), ('maintained', 8), ('cleanest', 8), ('brand', 8), ('super', 7), ('decision', 6), ('joining', 6), ('price', 6), ('absolutely', 6), ('facilities', 6), ('hands', 5), ('vibes', 5), ('sauna', 5), ('layout', 5), ('bad', 5), ('fair', 4), ('adequate', 4), ('years', 4), ('money', 4), ('outdated', 4), ('updates', 3), ('greeting', 3), ('members', 3), ('disappointed', 3), ('dirty', 3), ('doesn', 3), ('care', 3), ('budget', 3), ('disappointing', 2), ('overcrowded', 2), ('won', 2), ('acceptable', 2), ('worst', 2), ('keeping', 2), ('unprofessional', 2), ('standard', 2), ('outstanding', 2), ('music', 2), ('broken', 2), ('smells', 2), ('major', 2), ('advertise', 2), ('pay', 1), ('room', 1), ('improvement', 1), ('rude', 1), ('middle', 1), ('road', 1), ('crowded', 1), ('serviceable', 1), ('reasonable', 1), ('messy', 1), ('opened', 1), ('unhelpful', 1), ('cramped', 1), ('fine', 1)]",0.02469607843137255,0.6077254901960785,0.36758823529411766,0.7322303921568627,0.08877810820726478,0.10698438326833183,0.1403647151527928,0.3998052461328058
ChIJ4bfa2bd625b950ff713b,Muscle Factory Gym,"3925 E Thomas Rd, Phoenix, AZ 85018, United States",33.4802,-111.9856,4.8,315,85018,"['Monday: 5:00 AM – 10:00 PM', 'Tuesday: 5:00 AM – 10:00 PM', 'Wednesday: 5:00 AM – 10:00 PM', 'Thursday: 5:00 AM – 10:00 PM', 'Friday: 5:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 6:00 PM', 'Sunday: 7:00 AM – 4:00 PM']",104,"[('staff', 109), ('classes', 50), ('equipment', 46), ('workout', 46), ('incredible', 46), ('clean', 45), ('trainers', 40), ('helpful', 35), ('area', 34), ('friendly', 33), ('ve', 32), ('facility', 32), ('atmosphere', 31), ('weights', 30), ('stars', 28), ('spacious', 27), ('professional', 27), ('welcoming', 26), ('fantastic', 26), ('community', 26), ('motivating', 22), ('machines', 20), ('experience', 20), ('amenities', 20), ('knowledgeable', 20), ('treadmills', 19), ('modern', 19), ('pool', 19), ('supportive', 18), ('encouraging', 18), ('excellent', 17), ('locker', 17), ('rooms', 17), ('sauna', 17), ('price', 17), ('perfect', 16), ('maintained', 16), ('free', 16), ('schedule', 15), ('cardio', 15), ('notch', 14), ('highly', 14), ('decision', 14), ('joining', 14), ('variety', 14), ('super', 13), ('hours', 13), ('layout', 13), ('training', 13), ('space', 13), ('facilities', 13), ('maintenance', 12), ('vibe', 12), ('parking', 11), ('studio', 11), ('selection', 11), ('cleanest', 11), ('brand', 11), ('switched', 11), ('membership', 11), ('location', 10), ('worth', 10), ('music', 9), ('years', 9), ('member', 8), ('counting', 8), ('hands', 8), ('vibes', 8), ('train', 8), ('environment', 8), ('options', 8), ('endless', 8), ('penny', 8), ('premium', 8), ('terrible', 7), ('phenomenal', 7), ('customer', 7), ('service', 7), ('ready', 7), ('disappointed', 6), ('dirty', 6), ('doesn', 6), ('care', 6), ('absolutely', 6), ('major', 5), ('advertise', 5), ('unprofessional', 4), ('months', 3), ('overcrowded', 3), ('won', 3), ('greeting', 3), ('members', 3), ('special', 3), ('job', 3), ('fair', 3), ('average', 2), ('replacing', 2), ('fine', 2), ('making', 2), ('bad', 2), ('budget', 2), ('decent', 2), ('couple', 2), ('keeping', 2), ('money', 2), ('outdated', 2), ('messy', 2), ('standard', 2), ('offering', 2), ('tips', 2), ('cramped', 1), ('alright', 1), ('acceptable', 1), ('peak', 1), ('adequate', 1), ('reasonable', 1), ('worst', 1), ('unhelpful', 1)]",0.018892,0.607592,0.373512,0.7505120000000001,0.07511464020209886,0.1166340927101905,0.14185215540120588,0.3562583733899341
ChIJafc377b2850c046e2f9b,VASA Fitness - Phoenix,"1625 E Bethany Home Rd, Phoenix, AZ 85016, United States",33.5235,-112.042,4.0,987,85016,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: 5:00 AM – 10:00 PM', 'Sunday: 5:00 AM – 10:00 PM']",154,"[('staff', 122), ('classes', 57), ('equipment', 48), ('incredible', 41), ('weights', 38), ('experience', 34), ('spacious', 31), ('welcoming', 30), ('area', 30), ('community', 29), ('terrible', 28), ('clean', 27), ('trainers', 26), ('workout', 24), ('facility', 23), ('worth', 23), ('ve', 23), ('treadmills', 22), ('modern', 22), ('bad', 22), ('pool', 21), ('variety', 21), ('space', 21), ('free', 21), ('knowledgeable', 20), ('stars', 19), ('layout', 19), ('hours', 19), ('outdated', 18), ('professional', 18), ('cardio', 18), ('fair', 16), ('locker', 16), ('rooms', 16), ('friendly', 16), ('helpful', 15), ('membership', 15), ('training', 15), ('broken', 15), ('smells', 15), ('encouraging', 15), ('fantastic', 15), ('money', 14), ('supportive', 13), ('maintenance', 13), ('parking', 13), ('amenities', 13), ('ready', 13), ('music', 13), ('machines', 13), ('decent', 13), ('atmosphere', 13), ('sauna', 12), ('location', 12), ('motivating', 12), ('hands', 10), ('vibe', 10), ('vibes', 10), ('member', 10), ('counting', 10), ('average', 9), ('train', 9), ('environment', 9), ('options', 9), ('endless', 9), ('adequate', 9), ('major', 9), ('advertise', 9), ('schedule', 9), ('penny', 9), ('premium', 9), ('perfect', 9), ('phenomenal', 9), ('excellent', 9), ('facilities', 8), ('selection', 8), ('cleanest', 8), ('brand', 8), ('customer', 8), ('service', 8), ('disappointed', 7), ('dirty', 7), ('doesn', 7), ('care', 7), ('messy', 7), ('budget', 7), ('studio', 7), ('job', 6), ('unhelpful', 6), ('fine', 6), ('absolutely', 6), ('notch', 6), ('highly', 6), ('unprofessional', 5), ('replacing', 5), ('reasonable', 5), ('overcrowded', 5), ('won', 5), ('standard', 5), ('cramped', 5), ('years', 5), ('super', 5), ('switched', 5), ('updated', 4), ('middle', 4), ('road', 4), ('crowded', 4), ('serviceable', 4), ('acceptable', 4), ('outstanding', 4), ('disappointing', 4), ('updates', 4), ('maintained', 4), ('worst', 3), ('pay', 3), ('room', 3), ('improvement', 3), ('price', 3), ('greeting', 3), ('members', 3), ('rude', 3), ('alright', 2), ('peak', 2), ('special', 2), ('months', 2), ('opened', 2), ('decision', 1), ('joining', 1), ('couple', 1), ('making', 1)]",0.071256,0.637944,0.290792,0.486004,0.14235641136043609,0.12063838253791977,0.17642133284478648,0.602632270724756
ChIJ56ca5fd1c352e8702f03,LA Fitness - Biltmore,"2401 E Camelback Rd, Phoenix, AZ 85016, United States",33.5092,-111.9882,3.9,645,85016,"['Monday: 5:00 AM – 11:00 PM', 'Tuesday: 5:00 AM – 11:00 PM', 'Wednesday: 5:00 AM – 11:00 PM', 'Thursday: 5:00 AM – 11:00 PM', 'Friday: 5:00 AM – 10:00 PM', 'Saturday: 7:00 AM – 8:00 PM', 'Sunday: 7:00 AM – 8:00 PM']",116,"[('staff', 112), ('equipment', 41), ('clean', 39), ('classes', 39), ('incredible', 38), ('trainers', 33), ('experience', 33), ('ve', 32), ('weights', 30), ('workout', 27), ('area', 27), ('community', 24), ('pool', 24), ('atmosphere', 23), ('encouraging', 23), ('helpful', 23), ('motivating', 23), ('facility', 22), ('parking', 22), ('terrible', 22), ('amenities', 22), ('knowledgeable', 21), ('excellent', 20), ('worth', 20), ('sauna', 19), ('supportive', 19), ('vibe', 18), ('stars', 18), ('training', 18), ('layout', 17), ('space', 16), ('customer', 16), ('service', 16), ('location', 16), ('friendly', 16), ('variety', 16), ('spacious', 16), ('free', 15), ('cardio', 15), ('hours', 15), ('locker', 15), ('rooms', 15), ('decent', 14), ('outdated', 14), ('modern', 14), ('standard', 14), ('music', 14), ('fantastic', 14), ('hands', 13), ('vibes', 13), ('studio', 13), ('job', 13), ('average', 13), ('schedule', 12), ('welcoming', 11), ('bad', 11), ('train', 11), ('environment', 11), ('options', 11), ('endless', 11), ('penny', 11), ('premium', 11), ('adequate', 11), ('fair', 11), ('machines', 10), ('super', 10), ('facilities', 10), ('price', 10), ('treadmills', 10), ('cleanest', 9), ('brand', 9), ('money', 9), ('updated', 9), ('major', 9), ('advertise', 9), ('selection', 9), ('fine', 9), ('overcrowded', 9), ('won', 9), ('maintained', 8), ('broken', 8), ('smells', 8), ('perfect', 8), ('absolutely', 8), ('disappointing', 8), ('maintenance', 7), ('professional', 7), ('notch', 6), ('highly', 6), ('middle', 6), ('road', 6), ('crowded', 6), ('serviceable', 6), ('rude', 6), ('decision', 6), ('joining', 6), ('disappointed', 6), ('dirty', 6), ('doesn', 6), ('care', 6), ('ready', 5), ('membership', 5), ('outstanding', 5), ('updates', 5), ('reasonable', 4), ('years', 4), ('unhelpful', 4), ('special', 4), ('months', 4), ('replacing', 4), ('worst', 4), ('budget', 3), ('keeping', 3), ('phenomenal', 3), ('unprofessional', 3), ('messy', 3), ('alright', 3), ('peak', 3), ('pay', 3), ('room', 3), ('improvement', 3), ('making', 2), ('acceptable', 2), ('greeting', 2), ('members', 2), ('member', 2), ('counting', 2), ('switched', 2), ('cramped', 2), ('couple', 1), ('opened', 1)]",0.058103999999999996,0.632936,0.308964,0.5327999999999999,0.1250269255498583,0.13262313329862094,0.17963810871977487,0.5620496693025023
ChIJd72e58f330fe96ef5d1d,Orangetheory Fitness - Arcadia,"4704 E Thomas Rd, Phoenix, AZ 85018, United States",33.4802,-111.9727,4.8,189,85018,"['Monday: 5:00 AM – 7:30 PM', 'Tuesday: 5:00 AM – 7:30 PM', 'Wednesday: 5:00 AM – 7:30 PM', 'Thursday: 5:00 AM – 7:30 PM', 'Friday: 5:00 AM – 6:30 PM', 'Saturday: 7:00 AM – 12:00 PM', 'Sunday: 7:00 AM – 12:00 PM']",82,"[('staff', 79), ('incredible', 36), ('classes', 35), ('equipment', 34), ('weights', 33), ('clean', 32), ('area', 30), ('trainers', 29), ('knowledgeable', 28), ('helpful', 28), ('spacious', 27), ('workout', 27), ('experience', 24), ('atmosphere', 22), ('motivating', 19), ('facility', 19), ('community', 19), ('supportive', 19), ('ve', 18), ('free', 18), ('switched', 17), ('modern', 17), ('studio', 16), ('welcoming', 16), ('hours', 16), ('maintenance', 15), ('sauna', 15), ('stars', 15), ('facilities', 15), ('layout', 14), ('fantastic', 14), ('parking', 13), ('training', 13), ('treadmills', 12), ('excellent', 12), ('maintained', 12), ('membership', 11), ('vibe', 11), ('friendly', 11), ('locker', 11), ('rooms', 11), ('encouraging', 11), ('selection', 10), ('notch', 10), ('highly', 10), ('price', 10), ('member', 9), ('counting', 9), ('amenities', 9), ('decision', 9), ('joining', 9), ('worth', 9), ('professional', 9), ('machines', 8), ('space', 8), ('schedule', 7), ('cardio', 7), ('music', 7), ('variety', 7), ('penny', 7), ('premium', 7), ('ready', 7), ('location', 7), ('phenomenal', 7), ('hands', 6), ('vibes', 6), ('absolutely', 6), ('perfect', 6), ('cleanest', 6), ('brand', 6), ('super', 6), ('pool', 5), ('terrible', 5), ('customer', 5), ('service', 5), ('bad', 4), ('outdated', 4), ('opened', 4), ('months', 4), ('broken', 3), ('smells', 3), ('standard', 3), ('years', 3), ('average', 3), ('overcrowded', 3), ('won', 3), ('train', 3), ('environment', 3), ('options', 3), ('endless', 3), ('fair', 2), ('job', 2), ('money', 2), ('rude', 2), ('replacing', 2), ('fine', 2), ('decent', 2), ('disappointing', 2), ('cramped', 2), ('major', 2), ('advertise', 2), ('adequate', 1), ('outstanding', 1), ('special', 1), ('pay', 1), ('room', 1), ('improvement', 1), ('messy', 1), ('updates', 1), ('offering', 1), ('tips', 1), ('updated', 1), ('keeping', 1), ('greeting', 1), ('members', 1), ('couple', 1), ('middle', 1), ('road', 1), ('acceptable', 1), ('crowded', 1), ('serviceable', 1), ('unhelpful', 1), ('making', 1), ('budget', 1)]",0.016857142857142855,0.6201058201058202,0.36303174603174604,0.7427682539682539,0.07372501895186524,0.12239663210665792,0.14296640375924,0.34828268102465615
ChIJ880f78541230948e0b9b,Anytime Fitness - Downtown Phoenix,"625 E Adams St, Phoenix, AZ 85004, United States",33.4484,-112.065,4.4,178,85004,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168,"[('staff', 83), ('equipment', 42), ('classes', 34), ('clean', 30), ('ve', 29), ('incredible', 27), ('excellent', 23), ('area', 23), ('weights', 22), ('workout', 21), ('atmosphere', 21), ('trainers', 21), ('helpful', 20), ('spacious', 20), ('encouraging', 18), ('studio', 18), ('modern', 17), ('stars', 17), ('hours', 17), ('knowledgeable', 16), ('welcoming', 16), ('variety', 16), ('experience', 16), ('cardio', 15), ('facility', 15), ('amenities', 14), ('professional', 14), ('cleanest', 12), ('brand', 12), ('community', 12), ('fantastic', 12), ('worth', 12), ('friendly', 12), ('price', 11), ('locker', 11), ('rooms', 11), ('supportive', 11), ('music', 11), ('treadmills', 11), ('terrible', 11), ('customer', 11), ('service', 11), ('machines', 10), ('fine', 10), ('training', 10), ('phenomenal', 10), ('location', 9), ('perfect', 9), ('vibe', 9), ('sauna', 9), ('hands', 9), ('vibes', 9), ('maintained', 8), ('maintenance', 8), ('super', 8), ('membership', 8), ('train', 8), ('environment', 8), ('options', 8), ('endless', 8), ('free', 8), ('decision', 8), ('joining', 8), ('space', 8), ('parking', 8), ('outdated', 8), ('switched', 8), ('motivating', 7), ('layout', 7), ('member', 7), ('counting', 7), ('pool', 6), ('job', 6), ('months', 6), ('money', 6), ('schedule', 6), ('bad', 6), ('decent', 6), ('penny', 6), ('premium', 6), ('facilities', 6), ('selection', 6), ('offering', 5), ('tips', 5), ('standard', 5), ('absolutely', 5), ('years', 4), ('alright', 4), ('peak', 4), ('overcrowded', 4), ('won', 4), ('average', 4), ('special', 3), ('reasonable', 3), ('pay', 3), ('room', 3), ('improvement', 3), ('adequate', 3), ('notch', 3), ('highly', 3), ('budget', 3), ('broken', 3), ('smells', 3), ('unhelpful', 3), ('updated', 3), ('outstanding', 2), ('fair', 2), ('messy', 2), ('disappointing', 2), ('cramped', 2), ('making', 2), ('ready', 2), ('worst', 1), ('major', 1), ('advertise', 1), ('rude', 1), ('middle', 1), ('road', 1), ('crowded', 1), ('serviceable', 1), ('replacing', 1), ('acceptable', 1), ('opened', 1), ('couple', 1), ('unprofessional', 1), ('disappointed', 1), ('dirty', 1), ('doesn', 1), ('care', 1)]",0.03242696629213483,0.6300674157303371,0.3375,0.6628297752808989,0.09575538369198287,0.11661543324641861,0.15389130546689464,0.45041484915582247
