,neg,neu,pos,compound,place_id
0,0.0,0.647,0.353,0.8478,ChIJ9ac98aee3acb010da0bc
1,0.39,0.61,0.0,-0.7506,ChIJ9ac98aee3acb010da0bc
2,0.0,0.591,0.409,0.8655,ChIJ9ac98aee3acb010da0bc
3,0.0,0.509,0.491,0.9545,ChIJ9ac98aee3acb010da0bc
4,0.0,0.521,0.479,0.9402,ChIJ9ac98aee3acb010da0bc
5,0.0,0.679,0.321,0.8207,ChIJ9ac98aee3acb010da0bc
6,0.0,0.612,0.388,0.8356,ChIJ9ac98aee3acb010da0bc
7,0.098,0.495,0.407,0.7062,ChIJ9ac98aee3acb010da0bc
8,0.0,0.495,0.505,0.9459,ChIJ9ac98aee3acb010da0bc
9,0.0,0.462,0.538,0.9153,ChIJ9ac98aee3acb010da0bc
10,0.0,0.431,0.569,0.9217,ChIJ9ac98aee3acb010da0bc
11,0.352,0.648,0.0,-0.8276,ChIJ9ac98aee3acb010da0bc
12,0.077,0.656,0.268,0.5423,ChIJ9ac98aee3acb010da0bc
13,0.0,0.711,0.289,0.8074,ChIJ9ac98aee3acb010da0bc
14,0.0,0.484,0.516,0.9515,ChIJ9ac98aee3acb010da0bc
15,0.0,0.795,0.205,0.6588,ChIJ9ac98aee3acb010da0bc
16,0.0,0.669,0.331,0.836,ChIJ9ac98aee3acb010da0bc
17,0.0,0.664,0.336,0.8221,ChIJ9ac98aee3acb010da0bc
18,0.0,0.561,0.439,0.8553,ChIJ9ac98aee3acb010da0bc
19,0.0,0.432,0.568,0.9413,ChIJ9ac98aee3acb010da0bc
20,0.0,0.612,0.388,0.8788,ChIJ9ac98aee3acb010da0bc
21,0.0,0.674,0.326,0.7759,ChIJ9ac98aee3acb010da0bc
22,0.0,0.55,0.45,0.8398,ChIJ9ac98aee3acb010da0bc
23,0.0,0.614,0.386,0.8934,ChIJ9ac98aee3acb010da0bc
24,0.0,0.505,0.495,0.9402,ChIJ9ac98aee3acb010da0bc
25,0.0,0.726,0.274,0.7783,ChIJ9ac98aee3acb010da0bc
26,0.0,0.562,0.438,0.9134,ChIJ9ac98aee3acb010da0bc
27,0.0,0.693,0.307,0.7959,ChIJ9ac98aee3acb010da0bc
28,0.0,0.431,0.569,0.9217,ChIJ9ac98aee3acb010da0bc
29,0.0,0.467,0.533,0.9601,ChIJ9ac98aee3acb010da0bc
30,0.0,0.642,0.358,0.8313,ChIJ9ac98aee3acb010da0bc
31,0.0,0.795,0.205,0.6588,ChIJ9ac98aee3acb010da0bc
